Word/Phrase	Fun Opposite	Good word	Good Opposite	Don't Like	Difficulty	Helper 1	Helper 2	Helper 3	Category
Flight/Fly	Fall	TRUE	TRUE	FALSE		Drive	Walk	Swim	Travel
Flight attendant	Fall Ignorer	TRUE	TRUE	FALSE		Pilot	Passenger	Guard	Travel
Flight number	Fall Letter	TRUE	TRUE	FALSE		Seat-number	Gate-code	Bag-tag	Travel
Football	Hand-cube	TRUE	TRUE	FALSE		Soccer	Rugby	Tennis	Sports
Fortune Cookie	Misery Cracker	TRUE	TRUE	FALSE		Fact-file	News-paper	Text-book	Food
Four square	Against Circle	TRUE	TRUE	FALSE		Hop-scotch	Tag	Hide	Games
Freeze tag	Burn/melt miss	TRUE	FALSE	FALSE		Melt-down	Burn-up	Thaw-out	Games
French fries	English Boils	TRUE	TRUE	FALSE		Baked-potato	Mashed	Boiled	Food
French horn	English Silencer	TRUE	TRUE	FALSE		English-flute	German-drum	Spanish-guitar	Music
Fried rice	Frozen bread	FALSE	FALSE	FALSE		Steamed	Boiled	Raw	Food
Fudge	Bitterdust	FALSE	FALSE	FALSE		Toffee	Caramel	Nougat	Candy
Fuel gauge	Exhaust Guesser	FALSE	TRUE	FALSE		Speedometer	Thermometer	Clock	Car
Funnel cake	Desert bread	FALSE	FALSE	FALSE		Pancake	Waffle	Crepe	Food
Garage door	Garden wall	FALSE	FALSE	FALSE		Front-gate	Back-door	Side-entry	House
Garden hose	Desert-stick	FALSE	FALSE	FALSE		Fire-hose	Straw	Pipe	Garden
Gas pedal	Brake stone	FALSE	FALSE	FALSE		Brake	Clutch	Wheel	Car
Gas pump	Brake deflator	TRUE	TRUE	FALSE		Charger	Plug	Socket	Car
Gas station	Liquid motion	TRUE	TRUE	FALSE		Rest-stop	Diner	Motel	Travel
Gear shift	Neutral stay	TRUE	TRUE	FALSE	4	Steering	Brake	Pedal	Car
Gingerbread	Spicy-rock	FALSE	FALSE	FALSE		Shortbread	Sugar-cookie	Oatmeal	Food
Glovebox	SockBall	TRUE	TRUE	FALSE		Trunk	Hood	Roof	Car
Glue stick	Break dust	FALSE	FALSE	FALSE		Tape	Staple	Clip	School
Goldfish	Bronze-bird	TRUE	TRUE	FALSE		Shark	Whale	Tuna	Animals
Graduation cap	Dropout shoes	TRUE	TRUE	FALSE		Party-hat	Helmet	Crown	School
Green beans	Red rocks	FALSE	FALSE	FALSE		Carrots	Peas	Corn	Food
Green tea	Red Coffee	TRUE	TRUE	FALSE		Black-coffee	Red-wine	White-milk	Drink
Grizzly bear	Timid-secret	TRUE	TRUE	FALSE		Teddy	Panda	Polar	Animals
Gym shoes	Couch gloves	TRUE	TRUE	FALSE		Dress-shoes	Boots	Sandals	Clothing
Hall pass	Room Fail	TRUE	TRUE	FALSE		Detention	Suspension	Expulsion	School
Hamburger	Serious-hotdog	TRUE	TRUE	FALSE		Hotdog	Pizza	Taco	Food
Haunted house	Holy Prison	TRUE	TRUE	FALSE		Fun-house	Doll-house	Tree-house	Fun
Headlight	Tail-dark	TRUE	TRUE	FALSE		Taillight	Brake-light	Turn-signal	Car
Headphones	Foot-speakers	TRUE	TRUE	FALSE		Speakers	Radio	Stereo	Tech
Herbal tea	Root Coffee	TRUE	TRUE	FALSE		Soda	Beer	Wine	Drink
Hide and seek	Show not stay	TRUE	TRUE	FALSE		Tag	Chase	Race	Games
Highlighter	Low-darker	TRUE	TRUE	FALSE		Pen	Pencil	Marker	School
Highway	Low-walk	FALSE	FALSE	FALSE		Street	Road	Lane	Travel
Highway exit	ParkingLot Entrance	TRUE	TRUE	FALSE		Entrance	Ramp	Lane	Travel
History book	Future Movie	TRUE	TRUE	FALSE		Sci-fi	Fantasy	Comic	School
Homework	PrisonPlay	TRUE	TRUE	FALSE		Classwork	Test	Quiz	School
Honeycomb	BitterBrush	TRUE	TRUE	FALSE		Beehive	Nest	Web	Nature
Hopscotch	Crawlstone	FALSE	FALSE	FALSE		Jump-rope	Tag	Hide	Games
Hot chocolate	Cold vanilla	TRUE	TRUE	FALSE		Iced-tea	Lemonade	Water	Drink
Hot cocoa	Cold dust	FALSE	FALSE	FALSE		Cold-milk	Juice	Soda	Drink
Hot fudge	Cold rocks	FALSE	FALSE	FALSE		Whipped-cream	Sprinkles	Cherry	Food
Hot sauce	Cold sugar	FALSE	FALSE	FALSE		Ketchup	Mustard	Mayo	Food
Hot tea	Cold Coffee	TRUE	TRUE	FALSE		Iced-coffee	Slushie	Shake	Drink
Hotdog	Cold-cat	TRUE	TRUE	FALSE		Burger	Pizza	Taco	Food
Hotel	Shack	FALSE	FALSE	FALSE		Motel	Inn	Hostel	Travel
Hubcap	Hollow stick	FALSE	FALSE	FALSE		Tire	Rim	Wheel	Car
Ice cream	You-Whisper	TRUE	TRUE	FALSE		Yogurt	Sorbet	Gelato	Food
Ice cream cone	Fire soup cup	FALSE	FALSE	FALSE		Cup	Bowl	Dish	Food
Ice cream sundae	Fire night monday	FALSE	FALSE	FALSE		Banana-split	Cone	Shake	Food
Ice cube	Lava Orb	TRUE	TRUE	FALSE		Water	Steam	Vapor	Science
Ice skate	Lava Walk	TRUE	TRUE	FALSE		Roller	Blade	Wheel	Sports
Ice water	Lava Fire	TRUE	TRUE	FALSE		Hot-tea	Warm-milk	Boiling	Drink
Iceberg	Lava-pyramid 	TRUE	TRUE	FALSE		Glacier	Snow	Frost	Nature
Iced tea	Lava Coffee	TRUE	TRUE	FALSE		Hot-coffee	Warm-cider	Soup	Drink
Insure	Out-doubt	TRUE	TRUE	FALSE		Risk	Gamble	Bet	Money
Jam jar	Rock sack	FALSE	FALSE	FALSE		Pickle-jar	Can	Box	Food
Jellyfish	Peanutbutter-bird	TRUE	TRUE	FALSE		Starfish	Crab	Lobster	Animals
Juggler	Dropper	TRUE	TRUE	FALSE		Clown	Acrobat	Mime	Fun
Jump rope	Sit chain	FALSE	FALSE	FALSE		Hula-hoop	Ball	Bat	Games
Jumper cables	Laying bars/ropes	TRUE	TRUE	FALSE		Tow-rope	Chain	Strap	Car
Ketchup	Throw-down	TRUE	TRUE	FALSE		Mustard	Mayo	Relish	Food
Keyboard	Lock-edge	FALSE	FALSE	FALSE		Mouse	Screen	Monitor	Tech
Kite string	Rock-chain	FALSE	FALSE	FALSE		Fishing-line	Thread	Yarn	Fun
Kiwi fruit	Desert rock	FALSE	FALSE	FALSE		Apple	Orange	Banana	Food
Ladybug	Youngman/gentleman -giant 	TRUE	TRUE	FALSE		Beetle	Ant	Fly	Animals
Landing gear	Takeoff neutral	TRUE	TRUE	FALSE		Wings	Tail	Nose	Travel
Laptop	Floor-bottom	TRUE	TRUE	FALSE		Desktop	Tablet	Phone	Tech
Lawn mower	Jungle-grower	TRUE	TRUE	FALSE		Rake	Shovel	Hoe	Garden
Layover	Stand-under	TRUE	TRUE	FALSE		Direct	Non-stop	Through	Travel
Lemon drop	Sweet rise	TRUE	TRUE	FALSE		Gum-drop	Mint	Chew	Candy
Lemonade	Sweet-hurt	TRUE	TRUE	FALSE		Limeade	Punch	Soda	Drink
Lemonade stand	Sweet-hurt sit	TRUE	TRUE	FALSE		Store	Shop	Mart	Fun
License	Ban	FALSE	FALSE	FALSE		Permit	Card	ID	Legal
License plate	Ban Bowl	TRUE	TRUE	FALSE		Bumper	Sticker	Decal	Car
Life vest	Death speedo	TRUE	TRUE	FALSE		Float	Ring	Buoy	Safety
Lighthouse	Dark-tent	TRUE	TRUE	FALSE		Beacon	Lamp	Torch	Sea
Locker	Opener	TRUE	TRUE	FALSE		Closet	Shelf	Box	School
Locomotive	Still-neutral	TRUE	TRUE	FALSE		Car	Caboose	Train	Transport
Lollipop	Ground push	FALSE	FALSE	FALSE		Sucker	Pop	Candy	Candy
Lost luggage	Found backpack	FALSE	FALSE	FALSE		Found	Claimed	Safe	Travel
Luggage cart	Empty bench	FALSE	FALSE	FALSE		Trolley	Wagon	Barrow	Travel
Luggage rack	Empty pit	FALSE	FALSE	FALSE		Shelf	Bin	Hook	Travel
Lunchbox	Dinner plate	FALSE	FALSE	FALSE		Bag	Tray	Plate	School
Magic show	Logic hide	TRUE	TRUE	FALSE		Play	Movie	Concert	Fun
Magician	Revealer	FALSE	FALSE	FALSE		Wizard	Witch	Sorcerer	Fun
Mailbox	Voice-cloud	FALSE	FALSE	FALSE		Inbox	Outbox	Slot	House
Mapquest	Lost-answer	FALSE	FALSE	FALSE		Google	Apple	Waze	Tech
Marshmallow	Stone-spicy	FALSE	FALSE	FALSE		Chocolate	Graham	Cracker	Food
Mashed potatoes	Clumped Bananas	TRUE	TRUE	FALSE		Fries	Chips	Baked	Food
Math problem	Art answer	TRUE	TRUE	FALSE		Word-search	Crossword	Puzzle	School
Mayonnaise	Sanddark	FALSE	FALSE	FALSE		Mustard	Ketchup	Relish	Food
Meatballs	Veggie squares	TRUE	TRUE	FALSE		Sausage	Patty	Link	Food
Merry-go-round	Serious-stop-square	TRUE	TRUE	FALSE		Slide	Swing	Seesaw	Fun
Metro card	Desert slip	FALSE	FALSE	FALSE		Token	Ticket	Pass	Travel
Microwave	Macro-Flat	FALSE	FALSE	FALSE		Oven	Stove	Grill	Kitchen
Milk carton	Fire jar	FALSE	FALSE	FALSE		Jug	Bottle	Bag	Drink
Milkshake	Juice-still	TRUE	TRUE	FALSE		Malt	Float	Smoothie	Drink
Mindset	Body-Scatter	TRUE	TRUE	FALSE		Mood	Attitude	Vibe	Psych
Mindful	Body-empty 	FALSE	FALSE	FALSE		Aware	Alert	Awake	Psych
Minecraft	Yours-demolish	TRUE	TRUE	FALSE		Roblox	Fortnite	Mario	Games
Mineral water	Cloud dust	FALSE	FALSE	FALSE		Tap	Spring	Well	Drink
Mocha	Bright dust	FALSE	FALSE	FALSE		Latte	Cappuccino	Espresso	Drink
Monkey bars	Human floor	FALSE	FALSE	FALSE		Slide	Swing	Ladder	Fun
Moonlight	SunDark	TRUE	TRUE	FALSE		Sunlight	Starlight	Lamplight	Nature
Motel	Mansion	FALSE	FALSE	FALSE		Hotel	Inn	Lodge	Travel
Muffins	Stones	FALSE	FALSE	FALSE		Scones	Biscuits	Rolls	Food
Muffler	Shouter	TRUE	TRUE	FALSE		Scarf	Shawl	Wrap	Clothing
Music class	Silence pit	FALSE	FALSE	FALSE		Art	Gym	Math	School
Newspaper	Old-rock	TRUE	TRUE	FALSE		Magazine	Journal	Paper	Media
Newsstand	Old pit	TRUE	TRUE	FALSE		Kiosk	Booth	Stall	City
Nightstand	Daywalk	TRUE	TRUE	FALSE		Dresser	Bureau	Chest	Furniture
Notebook	Song-Movie	TRUE	TRUE	FALSE		Journal	Diary	Pad	School
Notebook paper	Forget rock	FALSE	FALSE	FALSE		Graph	Lined	Blank	School
Oboe	Dust hole	FALSE	FALSE	FALSE		Clarinet	Flute	Sax	Music
Ocean Floor	Land Ceiling	TRUE	TRUE	FALSE		Sea-bed	Sand	Reef	Nature
Odometer	Nowhere-stick	FALSE	FALSE	FALSE		Speedometer	Gauge	Dial	Car
Orange juice	Blue Milk	TRUE	TRUE	FALSE		Apple	Grape	Cranberry	Drink
Orchestra	Silence hall	FALSE	FALSE	FALSE		Band	Choir	Group	Music
Overhead bin	Underfoot pit	TRUE	TRUE	FALSE		Under-seat	Closet	Rack	Travel
Overpass	Underfail	TRUE	TRUE	FALSE		Underpass	Bridge	Tunnel	City
Oxygen mask	Carbon stone	FALSE	FALSE	FALSE		Gas-mask	Face-mask	Shield	Safety
Pancake syrup	Veggie dust	FALSE	FALSE	FALSE		Honey	Jam	Butter	Food
Pancakes	Night-craters	FALSE	FALSE	FALSE		Waffles	Toast	Eggs	Food
Paper stack	Digital void	FALSE	FALSE	FALSE		Pile	Heap	Mound	Office
Paperclip	Rock-rope	FALSE	FALSE	FALSE		Staple	Pin	Tack	Office
Parking brake	Rolling go	FALSE	FALSE	FALSE		Gas	Clutch	Gear	Car
Parking lot	Flying meadow	FALSE	FALSE	FALSE		Garage	Space	Spot	City
Passenger train	Pilot plane	FALSE	FALSE	FALSE		Freight	Cargo	Coal	Transport
Passport	Fail-sail	FALSE	FALSE	FALSE		Visa	ID	Card	Travel
Peanut butter	Jelly	FALSE	FALSE	FALSE		Jelly	Honey	Nutella	Food
Pencil case	Ink jar	FALSE	FALSE	FALSE		Box	Bag	Pouch	School
Pencil sharpener	Crayon duller	FALSE	FALSE	FALSE		Knife	Blade	Cutter	School
Petting zoo	Poking/Roughing habitat	TRUE	TRUE	FALSE		Farm	Barn	Stable	Fun
Pilot	Passenger	TRUE	TRUE	FALSE		Driver	Captain	Chief	Jobs
Playbill	Workbonus 	TRUE	TRUE	FALSE		Program	Guide	Menu	Theater
Playground	Work-air	TRUE	TRUE	FALSE		Park	Field	Yard	Fun
jungle gym	desert couch	TRUE	TRUE	FALSE		Slide	Swing	Sand	Fun
Playground kickball	Couch chess	FALSE	FALSE	FALSE		Soccer	Baseball	Tag	Games
Playground slide	Work-stepper	FALSE	FALSE	FALSE		Swing	Seesaw	Bars	Fun
Playground swing	Office-still	FALSE	FALSE	FALSE		Slide	Bars	Sand	Fun
Polar bear	Equator-keep/ cat	TRUE	TRUE	FALSE		Penguin	Seal	Walrus	Animals
Policeman	Thief-kid	FALSE	FALSE	FALSE		Fireman	Doctor	Nurse	Jobs
Pony ride	Couch stone	FALSE	FALSE	FALSE		Horse	Camel	Elephant	Fun
Popcorn	Still-wheat	FALSE	FALSE	FALSE		Chips	Pretzels	Nuts	Snack
Popsicle	Melt-hot	FALSE	FALSE	FALSE		Cone	Cup	Bar	Food
Potato chips	Sky fruit	FALSE	FALSE	FALSE		Corn	Tortilla	Pita	Snack
Principal	Student minor	FALSE	FALSE	FALSE		Teacher	Coach	Nurse	School
Prize counter	Lose wall	FALSE	FALSE	FALSE		Ticket	Token	Coin	Fun
Program guide	Forget void	FALSE	FALSE	FALSE		Menu	List	Chart	Media
Protein bar	Fat rope	FALSE	FALSE	FALSE		Shake	Powder	Drink	Food
Protein shake	Fat-steady	TRUE	TRUE	FALSE		Smoothie	Juice	Milk	Drink
Pumpkin pie	Broccoli-bread	FALSE	FALSE	FALSE		Apple	Pecan	Cherry	Food
Puppet show	Human stand	FALSE	FALSE	FALSE		Play	Movie	Act	Fun
Quiz paper	Dance stone	FALSE	FALSE	FALSE		Test	Exam	Study	School
Radio	Quiet hole	FALSE	FALSE	FALSE		TV	Phone	Web	Media
Railroad	Skyfree	FALSE	FALSE	FALSE		Track	Line	Path	Transport
Railroad bridge	Water pit	FALSE	FALSE	FALSE		Tunnel	Crossing	Switch	Transport
Railroad crossing	Free sky	FALSE	FALSE	FALSE		Signal	Gate	Light	Transport
Rainbow	Shadow-monochrome	FALSE	FALSE	FALSE		Cloud	Rain	Sun	Weather
Raindrop	Sun-lift	FALSE	FALSE	FALSE		Snowflake	Hail	Sleet	Weather
Rainstorm	Sunrest	FALSE	FALSE	FALSE		Snowstorm	Wind	Hail	Weather
Ramen bowl	Steak plate	FALSE	FALSE	FALSE		Soup	Noodle	Broth	Food
Reading glasses	Ignoring darks	FALSE	FALSE	FALSE		Sun-glasses	Goggles	Monocle	Items
Rearview mirror	Forward blur	FALSE	FALSE	FALSE		Side-mirror	Windshield	Window	Car
Recess	Meeting	FALSE	FALSE	FALSE		Break	Lunch	Play	School
Red Rover	Blue Sitter	FALSE	FALSE	FALSE		Tag	Hide	Seek	Games
Refrigerator	Heat-spreader	FALSE	FALSE	FALSE		Freezer	Cooler	Box	Kitchen
Rest stop	Work go	FALSE	FALSE	FALSE		Exit	Area	Park	Travel
Ringmaster	Crowd minor	FALSE	FALSE	FALSE		Clown	Acrobat	Tamer	Fun
Road trip	Couch nap	FALSE	FALSE	FALSE		Flight	Cruise	Train	Travel
